                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7828,                 5.4404,                 4.1737,                0.00011,                0.01454,                  7e-05,                  2e-05,                  3.896,                 4.5194,                 4.1354,             0.00046641,             0.00046641,             0.00046641
                      2,                 3.0572,                 4.5389,                 3.5568,                0.00072,                0.05125,                0.00053,                 0.0002,                 3.8929,                 4.6036,                  4.325,             0.00084941,             0.00084941,             0.00084941
                      3,                 2.4513,                 3.5653,                 2.5891,                0.34192,                0.02044,                0.00211,                0.00081,                 3.4272,                 33.579,                 4.9178,              0.0011381,              0.0011381,              0.0011381
                      4,                  2.206,                 2.9921,                 2.1804,                0.83015,                0.14143,                0.14279,                 0.0667,                 2.0155,                 2.7654,                 2.0307,              0.0010046,              0.0010046,              0.0010046
                      5,                 2.0584,                 2.4983,                 1.9623,                0.21019,                0.15861,                0.17898,                0.08378,                 1.9526,                 2.3124,                 1.9862,             0.00086312,             0.00086312,             0.00086312
                      6,                 1.9532,                 2.3142,                 1.8691,                0.66164,                0.24961,                0.25264,                0.11208,                 1.8434,                 1.9089,                 1.8131,             0.00072164,             0.00072164,             0.00072164
                      7,                 1.8414,                 2.0567,                 1.7488,                0.62484,                0.25791,                0.26559,                 0.1412,                 1.7253,                 1.7357,                 1.7451,             0.00058017,             0.00058017,             0.00058017
                      8,                 1.7814,                 1.9529,                 1.6925,                0.73032,                 0.2816,                0.32012,                0.16652,                 1.6917,                 1.6072,                  1.684,              0.0004387,              0.0004387,              0.0004387
                      9,                 1.7577,                 1.9188,                 1.6923,                0.74212,                0.31526,                0.34596,                0.18834,                 1.6158,                  1.514,                 1.6317,             0.00029723,             0.00029723,             0.00029723
                     10,                 1.7025,                 1.8063,                 1.6388,                0.75845,                0.30705,                0.36856,                0.20852,                 1.6023,                 1.4922,                 1.6234,             0.00015576,             0.00015576,             0.00015576
