                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9626,                 4.7161,                  4.122,                0.00037,                 0.0278,                0.00022,                  7e-05,                 3.8569,                 4.3782,                 4.1032,             0.00046641,             0.00046641,             0.00046641
                      2,                 2.9754,                 3.5232,                 3.2983,                 0.0008,                0.03535,                0.00046,                0.00015,                 3.4302,                 4.1929,                 3.8378,              0.0009303,              0.0009303,              0.0009303
                      3,                 2.3979,                 2.5963,                 2.3923,                0.47855,                0.10434,                 0.1034,                0.05021,                 2.0614,                 2.6691,                  2.311,              0.0013816,              0.0013816,              0.0013816
                      4,                 2.1441,                 2.1851,                 2.0298,                0.64023,                0.23831,                0.24571,                0.11662,                   1.89,                 2.0206,                 2.0401,              0.0013724,              0.0013724,              0.0013724
                      5,                 2.0098,                 2.0025,                 1.8997,                0.73718,                0.22353,                0.27765,                0.14704,                 1.6983,                 1.7501,                  1.879,              0.0013535,              0.0013535,              0.0013535
                      6,                 1.8872,                   1.79,                 1.7726,                0.74989,                0.32723,                0.37285,                0.19779,                 1.6045,                 1.4905,                 1.7512,              0.0013347,              0.0013347,              0.0013347
                      7,                 1.8027,                  1.646,                  1.689,                0.78495,                0.33662,                0.41982,                0.22631,                 1.5498,                  1.439,                 1.6847,              0.0013158,              0.0013158,              0.0013158
                      8,                 1.7418,                 1.5312,                  1.602,                0.80289,                0.34509,                0.42606,                0.23199,                 1.5543,                 1.4363,                  1.659,               0.001297,               0.001297,               0.001297
                      9,                 1.7193,                 1.4959,                 1.6083,                0.43838,                0.45644,                0.42779,                0.24217,                 1.5049,                 1.2885,                 1.6213,              0.0012781,              0.0012781,              0.0012781
                     10,                 1.6565,                 1.3662,                 1.5665,                0.59094,                0.43217,                 0.4562,                0.26605,                 1.5142,                 1.2252,                 1.6755,              0.0012592,              0.0012592,              0.0012592
                     11,                 1.6215,                 1.3157,                 1.4894,                0.52158,                0.45711,                0.50137,                0.29212,                 1.3945,                 1.1629,                 1.5804,              0.0012404,              0.0012404,              0.0012404
                     12,                 1.5513,                  1.302,                  1.479,                0.86384,                0.40385,                0.48541,                0.26829,                 1.4457,                 1.1853,                 1.5715,              0.0012215,              0.0012215,              0.0012215
                     13,                  1.537,                 1.2749,                 1.4328,                0.60839,                0.53541,                 0.5495,                 0.3299,                 1.3452,                 1.0433,                 1.5352,              0.0012026,              0.0012026,              0.0012026
